OBJECTID,inci_id,chrgdesc,date_occu,frmBlock,street,Address
83877,2018001258,ASSAULT/ON POL OFFI,2018-01-21T23:49:00.000Z,3700,CAMPBELL AVE/WOODROW ST,"CAMPBELL AVE / WOODROW ST Lynchburg, VA"
83878,2018001680,LARCENY - OTHER,2018-01-22T12:00:00.000Z,1100,EARLY ST,"1100 EARLY ST Lynchburg, VA"
83879,2018001357,LARCENY - OTHER,2018-01-22T15:00:00.000Z,2400,WOODROW ST,"2400 WOODROW ST Lynchburg, VA"
83880,2018001305,LARCENY - OTHER,2018-01-22T15:00:00.000Z,2000,GARFIELD AVE,"2000 GARFIELD AVE Lynchburg, VA"
83881,2018001341,LARCENY - FROM VEHICLE,2018-01-22T15:30:00.000Z,2500,MORSON ST,"2500 MORSON ST Lynchburg, VA"
83882,2018001652,LARCENY - SHOPLIFTING,2018-01-22T17:05:00.000Z,4000,WARDS RD,"4000 WARDS RD Lynchburg, VA"
83883,2018001516,ASSAULT/AGGR/HSHLD,2018-01-22T18:00:00.000Z,1400,GARFIELD AVE,"1400 GARFIELD AVE Lynchburg, VA"
83884,2018001516,RAPE/FORCE,2018-01-22T18:00:00.000Z,1400,GARFIELD AVE,"1400 GARFIELD AVE Lynchburg, VA"
83885,2018001314,LARCENY - SHOPLIFTING,2018-01-22T18:31:58.000Z,2300,MEMORIAL AVE,"2300 MEMORIAL AVE Lynchburg, VA"
83886,2018001344,LARCENY - OTHER,2018-01-22T21:00:00.000Z,1000,POLK ST,"1000 POLK ST Lynchburg, VA"
83887,2018001333,LARCENY - FROM VEHICLE,2018-01-22T22:45:00.000Z,2300,FORT AVE,"2300 FORT AVE Lynchburg, VA"
83888,2018001396,ASSAULT/SIMPLE,2018-01-23T00:00:00.000Z,100,JACKSON ST,"0100 JACKSON ST Lynchburg, VA"
83889,2018001386,ASSAULT/SIMPL/HSHLD,2018-01-23T00:00:00.000Z,7500,TIMBERLAKE RD,"7500 TIMBERLAKE RD Lynchburg, VA"
83890,2018003127,LARCENY - OTHER,2018-01-23T10:00:00.000Z,6000,PAWNEE DR,"6000 PAWNEE DR Lynchburg, VA"
83891,2018001381,LARCENY - FROM VEHICLE,2018-01-23T17:00:00.000Z,300,RIVERSIDE DR,"0300 RIVERSIDE DR Lynchburg, VA"
83892,2018001393,AUTO THEFT,2018-01-23T18:00:00.000Z,3300,CAMPBELL AVE,"3300 CAMPBELL AVE Lynchburg, VA"
83893,2018001387,ASSAULT/SIMPLE,2018-01-23T21:00:00.000Z,1700,LOCUST ST,"1700 LOCUST ST Lynchburg, VA"
83894,2018001391,ASSAULT/SIMPLE,2018-01-24T00:43:44.000Z,1300,RUFFNER PL,"1300 RUFFNER PL Lynchburg, VA"
83895,2018001414,ASSAULT/SIMPLE,2018-01-24T14:20:00.000Z,1300,BUCHANAN ST,"1300 BUCHANAN ST Lynchburg, VA"
83896,2018001413,ASSAULT/SIMPLE,2018-01-24T14:21:31.000Z,900,MAIN ST,"0900 MAIN ST Lynchburg, VA"
83897,2018001417,LARCENY - SHOPLIFTING,2018-01-24T14:50:00.000Z,3900,WARDS RD,"3900 WARDS RD Lynchburg, VA"
83898,2018001451,AUTO THEFT,2018-01-24T15:00:00.000Z,300,WINSTON RIDGE RD,"0300 WINSTON RIDGE RD Lynchburg, VA"
83899,2018001499,LARCENY - FROM VEHICLE,2018-01-24T19:30:00.000Z,1500,SOMERSET DR,"1500 SOMERSET DR Lynchburg, VA"
83900,2018001442,ASSAULT/ON POL OFFI,2018-01-24T22:12:00.000Z,400,RIVERMONT AVE,"0400 RIVERMONT AVE Lynchburg, VA"
83901,2018001487,ASSAULT/SIMPL/HSHLD,2018-01-25T00:00:00.000Z,900,BILTMORE AVE,"0900 BILTMORE AVE Lynchburg, VA"
