OBJECTID,inci_id,chrgdesc,date_occu,frmBlock,street,Address
83781,2018000508,ASSAULT/SIMPLE,2018-01-09T22:11:32.000Z,1100,FILLMORE ST,"1100 FILLMORE ST Lynchburg, VA"
83782,2018000522,LARCENY - FROM VEHICLE,2018-01-09T23:23:29.000Z,0,BEVERLY ST,"0000 BEVERLY ST Lynchburg, VA"
83783,2018000563,ASSAULT/SIMPLE,2018-01-10T00:00:00.000Z,800,FLORIDA AVE,"0800 FLORIDA AVE Lynchburg, VA"
83784,2018000524,ASSAULT/SIMPL/HSHLD,2018-01-10T00:30:30.000Z,400,MONTICELLO AVE,"0400 MONTICELLO AVE Lynchburg, VA"
83785,2018000521,ASSAULT/SIMPL/HSHLD,2018-01-10T01:26:59.000Z,1000,TERRY CT,"1000 TERRY CT Lynchburg, VA"
83786,2018000536,ASSAULT/SIMPLE,2018-01-10T09:46:00.000Z,100,MILL RIDGE RD,"0100 MILL RIDGE RD Lynchburg, VA"
83787,2018000555,DUI,2018-01-10T13:23:12.000Z,3000,HILL ST,"3000 HILL ST Lynchburg, VA"
83788,2018000558,LARCENY - OTHER,2018-01-10T13:30:00.000Z,900,COURT ST,"0900 COURT ST Lynchburg, VA"
83789,2018000562,ASSAULT/SIMPLE,2018-01-10T17:42:00.000Z,1600,FILLMORE ST,"1600 FILLMORE ST Lynchburg, VA"
83790,2018000631,LARCENY - OTHER,2018-01-11T00:00:00.000Z,400,WOODWAY DR,"0400 WOODWAY DR Lynchburg, VA"
83791,2018000613,ASSAULT/SIMPL/HSHLD,2018-01-11T05:59:59.000Z,1100,DEARING ST,"1100 DEARING ST Lynchburg, VA"
83792,2018000653,LARCENY - OTHER,2018-01-11T08:00:00.000Z,2400,ATHERHOLT RD,"2400 ATHERHOLT RD Lynchburg, VA"
83793,2018000635,ASSAULT/SIMPLE,2018-01-11T08:22:00.000Z,3100,WARDS FERRY RD,"3100 WARDS FERRY RD Lynchburg, VA"
83794,2018000629,LARCENY - OTHER,2018-01-11T09:00:00.000Z,1800,MEMORIAL AVE,"1800 MEMORIAL AVE Lynchburg, VA"
83795,2018000644,ASSAULT/SIMPLE,2018-01-11T14:47:45.000Z,2500,LINKHORNE DR,"2500 LINKHORNE DR Lynchburg, VA"
83796,2018000660,ASSAULT/SIMPL/HSHLD,2018-01-11T16:24:37.000Z,0,VILLAGE RD,"0000 VILLAGE RD Lynchburg, VA"
83797,2018000669,LARCENY - FROM VEHICLE,2018-01-11T19:30:00.000Z,300,WESTOVER BLVD,"0300 WESTOVER BLVD Lynchburg, VA"
83798,2018000680,LARCENY - FROM VEHICLE,2018-01-11T19:30:00.000Z,400,WESTOVER BLVD,"0400 WESTOVER BLVD Lynchburg, VA"
83799,2018000678,ASSAULT/SIMPL/HSHLD,2018-01-11T21:11:00.000Z,1600,FILLMORE ST,"1600 FILLMORE ST Lynchburg, VA"
83800,2018000681,ASSAULT/AGGRAVATED,2018-01-11T22:30:00.000Z,2600,MEMORIAL AVE,"2600 MEMORIAL AVE Lynchburg, VA"
83801,2018000683,MURDER/VOL-MANSLAUG,2018-01-11T23:45:00.000Z,1800,TAYLOR ST,"1800 TAYLOR ST Lynchburg, VA"
83802,2018000720,ASSAULT/SIMPLE,2018-01-12T00:00:00.000Z,300,BUENA VISTA ST,"0300 BUENA VISTA ST Lynchburg, VA"
83803,2018000688,ASSAULT/AGGRAVATED,2018-01-12T05:55:45.000Z,2000,PANSY ST,"2000 PANSY ST Lynchburg, VA"
83804,2018000691,ASSAULT/SIMPLE,2018-01-12T07:28:08.000Z,3100,WARDS FERRY RD,"3100 WARDS FERRY RD Lynchburg, VA"
83805,2018000710,LARCENY - OTHER,2018-01-12T13:39:00.000Z,2300,ATHERHOLT RD,"2300 ATHERHOLT RD Lynchburg, VA"
83806,2018000721,LARCENY - OTHER,2018-01-12T15:08:04.000Z,1000,SANDUSKY DR,"1000 SANDUSKY DR Lynchburg, VA"
83807,2018000725,LARCENY - SHOPLIFTING,2018-01-12T17:40:00.000Z,3700,CANDLERS MOUNTAIN RD,"3700 CANDLERS MOUNTAIN RD Lynchburg, VA"
83808,2018000745,DUI,2018-01-12T20:05:00.000Z,3400,CANDLERS MOUNTAIN RD,"3400 CANDLERS MOUNTAIN RD Lynchburg, VA"
83809,2018000750,ASSAULT/SIMPL/HSHLD,2018-01-13T00:00:00.000Z,1500,EDLEY PL,"1500 EDLEY PL Lynchburg, VA"
83810,2018000761,LARCENY - FROM VEHICLE,2018-01-13T00:01:00.000Z,1000,CRAIGMONT DR,"1000 CRAIGMONT DR Lynchburg, VA"
83811,2018000800,LARCENY - OTHER,2018-01-13T09:00:00.000Z,3000,WARDS FERRY RD,"3000 WARDS FERRY RD Lynchburg, VA"
83812,2018000766,ASSAULT/AGGR/HSHLD,2018-01-13T12:15:00.000Z,2200,RIVERMONT AVE,"2200 RIVERMONT AVE Lynchburg, VA"
83813,2018001503,LARCENY - OTHER,2018-01-13T15:00:00.000Z,600,JACKSON ST,"0600 JACKSON ST Lynchburg, VA"
83814,2018000785,ASSAULT/AGGRAVATED,2018-01-13T16:04:00.000Z,2300,LAKESIDE DR,"2300 LAKESIDE DR Lynchburg, VA"
83815,2018000848,LARCENY - FROM VEHICLE,2018-01-13T22:00:00.000Z,3500,PLYMOUTH PL,"3500 PLYMOUTH PL Lynchburg, VA"
83816,2018000842,LARCENY - FROM VEHICLE,2018-01-13T23:00:00.000Z,500,ROLFE AVE,"0500 ROLFE AVE Lynchburg, VA"
83817,2018000958,LARCENY - OTHER,2018-01-14T00:00:00.000Z,1400,KEMPER ST,"1400 KEMPER ST Lynchburg, VA"
83818,2018000829,LARCENY - OTHER,2018-01-14T00:16:37.000Z,7800,TIMBERLAKE RD,"7800 TIMBERLAKE RD Lynchburg, VA"
83819,2018000835,AUTO THEFT,2018-01-14T02:00:00.000Z,1500,PARK AVE,"1500 PARK AVE Lynchburg, VA"
83820,2018000834,DUI,2018-01-14T02:19:13.000Z,100,PATRICK ST/1ST ST,"PATRICK ST / 1ST ST Lynchburg, VA"
83821,2018000843,ASSAULT/SIMPL/HSHLD,2018-01-14T12:21:44.000Z,2000,LANGHORNE RD,"2000 LANGHORNE RD Lynchburg, VA"
83822,2018000846,LARCENY - SHOPLIFTING,2018-01-14T15:13:40.000Z,2900,MEMORIAL AVE,"2900 MEMORIAL AVE Lynchburg, VA"
83823,2018000849,LARCENY - SHOPLIFTING,2018-01-14T15:34:11.000Z,4000,WARDS RD,"4000 WARDS RD Lynchburg, VA"
83824,2018000857,LARCENY - SHOPLIFTING,2018-01-14T18:46:40.000Z,2900,MEMORIAL AVE,"2900 MEMORIAL AVE Lynchburg, VA"
83825,2018000859,ASSAULT/SIMPL/HSHLD,2018-01-14T20:23:28.000Z,3400,FORT AVE,"3400 FORT AVE Lynchburg, VA"
83826,2018000868,ASSAULT/AGGRAVATED,2018-01-15T06:00:00.000Z,600,LEESVILLE RD,"0600 LEESVILLE RD Lynchburg, VA"
83827,2018000882,ASSAULT/SIMPL/HSHLD,2018-01-15T12:00:00.000Z,1400,KEMPER ST,"1400 KEMPER ST Lynchburg, VA"
83828,2018000952,ASSAULT/SIMPLE,2018-01-15T14:15:00.000Z,900,HOLLINS ST,"0900 HOLLINS ST Lynchburg, VA"
83829,2018000888,ASSAULT/SIMPLE,2018-01-15T15:30:00.000Z,3200,FOREST BROOK RD,"3200 FOREST BROOK RD Lynchburg, VA"
83830,2018000891,ASSAULT/SIMPL/HSHLD,2018-01-15T18:50:04.000Z,1500,GRACE ST,"1500 GRACE ST Lynchburg, VA"
83831,2018000938,ASSAULT/SIMPLE,2018-01-15T22:00:00.000Z,3800,WARDS RD,"3800 WARDS RD Lynchburg, VA"
83832,2018001270,ASSAULT/SIMPLE,2018-01-16T00:00:00.000Z,2500,LINKHORNE DR,"2500 LINKHORNE DR Lynchburg, VA"
83833,2018000964,ASSAULT/SIMPLE,2018-01-16T00:00:00.000Z,2900,MEMORIAL AVE,"2900 MEMORIAL AVE Lynchburg, VA"
83834,2018000933,LARCENY - SHOPLIFTING,2018-01-16T12:35:47.000Z,4000,WARDS RD,"4000 WARDS RD Lynchburg, VA"
83835,2018000937,ASSAULT/SIMPL/HSHLD,2018-01-16T13:31:24.000Z,1400,KEMPER ST,"1400 KEMPER ST Lynchburg, VA"
